show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
81145628,Movie,norm of the north: king sized adventure,"richard finn, tim maltby","Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson","United States, India, South Korea, China","September 9, 2019",2019,TV-PG,90 min,"Children & Family Movies, Comedies","before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."
80117401,Movie,jandino: whatever it takes,,Jandino Asporaat,United Kingdom,"September 9, 2016",2016,TV-MA,94 min,Stand-Up Comedy,"jandino asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""sex on fire"" in his comedy show."
70234439,TV Show,transformers prime,,"Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle",USA,"September 8, 2018",2013,TV-Y7-FV,1 Season,Kids' TV,"with the help of three human allies, the autobots once again protect earth from the onslaught of the decepticons and their leader, megatron."
80058654,TV Show,transformers: robots in disguise,,"Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen",USA,"September 8, 2018",2016,TV-Y7,1 Season,Kids' TV,"when a prison ship crash unleashes hundreds of decepticons on earth, bumblebee leads a new autobot force to protect humankind."
80125979,Movie,#realityhigh,fernando lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",USA,"September 8, 2017",2017,TV-14,99 min,Comedies,"when nerdy high schooler dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
80163890,TV Show,apaches,,"Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac",Spain,"September 8, 2017",2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",a young journalist is forced into a life of crime to save his father and family in this series based on the novel by miguel sáez carral.
70304989,Movie,automata,gabe ibáñez,"Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall","Bulgaria, United States, Spain, Canada","September 8, 2017",2014,R,110 min,"International Movies, Sci-Fi & Fantasy, Thrillers","in a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."
80164077,Movie,fabrizio copano: solo pienso en mi,"rodrigo toro, francisco schultz",Fabrizio Copano,Chile,"September 8, 2017",2017,TV-MA,60 min,Stand-Up Comedy,"fabrizio copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family whatsapp groups and more."
80117902,TV Show,fire chasers,,,USA,"September 8, 2017",2017,TV-MA,1 Season,"Docuseries, Science & Nature TV","as california's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries."
70304990,Movie,good people,henrik ruben genz,"James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh","United States, United Kingdom, Denmark, Sweden","September 8, 2017",2014,R,90 min,"Action & Adventure, Thrillers",a struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
80169755,Movie,joaquín reyes: una y no más,josé miguel contreras,Joaquín Reyes,,"September 8, 2017",2017,TV-MA,78 min,Stand-Up Comedy,"comedian and celebrity impersonator joaquín reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more."
70299204,Movie,kidnapping mr. heineken,daniel alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik","Netherlands, Belgium, United Kingdom, United States","September 8, 2017",2015,R,95 min,"Action & Adventure, Dramas, International Movies","when beer magnate alfred ""freddy"" heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."
